E2B2 SizeLegacy
EF0D CompanyDirectory
EF1C OpenEnrollment
EF2B CompanyDirectoryMirrored
EF32 OneDriveAdd
EF35 ProfileSearch
EF36 Header2
EF37 Header3
EF38 Header4
EF39 Screen
EF3A RingerSolid
EF3C Eyedropper
EF42 MarketDown
EF51 CalendarWorkWeek
EF52 SidePanel
EF53 GlobeFavorite
EF54 CaretTopLeftSolid8
EF55 CaretTopRightSolid8
EF56 ViewAll2
EF57 DocumentReply
EF58 PlayerSettings
EF59 ReceiptForward
EF5A ReceiptReply
EF5B ReceiptCheck
EF5C Fax
EF5D RecurringEvent
EF5E ReplyAlt
EF5F ReplyAllAlt
EF60 EditStyle
EF61 EditMail
EF62 Lifesaver
EF63 LifesaverLock
EF64 InboxCheck
EF65 FolderSearch
EF66 CollapseMenu
EF67 ExpandMenu
EF68 Boards
EF69 SunAdd
EF6A SunQuestionMark
EF6B LandscapeOrientation
EF6C DocumentSearch
EF6D PublicCalendar
EF6E PublicContactCard
EF6F PublicEmail
EF70 PublicFolder
EF71 WordDocument
EF72 PowerPointDocument
EF73 ExcelDocument
EF74 GroupedList
EF75 ClassroomLogo
EF76 Sections
EF77 EditPhoto
EF78 Starburst
EF79 ShareiOS
EF7A AirTickets
EF7B PencilReply
EF7C Tiles2
EF7D SkypeCircleCheck
EF7E SkypeCircleClock
EF7F SkypeCircleMinus
EF80 SkypeCheck
EF81 SkypeClock
EF82 SkypeMinus
EF83 SkypeMessage
EF84 ClosedCaption
EF85 ATPLogo
EF86 OfficeFormsLogoInverse
EF87 RecycleBin
EF88 EmptyRecycleBin
EF89 Hide2
EF8C Breadcrumb
EF8D BirthdayCake
EF8F ClearFilter
EF90 Flow
EF93 FixedAssetManagement
EF95 TimeEntry
EFA9 Speech
EFAC MailLink
EFB1 CRMProcesses
EFB5 PageBlock
EFB6 PageEdit
EFB8 PageArrowRight
EFBA PageRemove
EFC7 Database
EFC8 DataManagementSettings
EFC9 MergeCase
EFD2 CRMServices
EFD3 EditContact
EFD4 ConnectContacts
EFD6 CRMLead
EFDA AppIconDefaultAdd
EFDC AppIconDefaultEdit
EFDE AppIconDefaultList
EFE0 ActivateOrders
EFE1 DeactivateOrders
EFE8 ProductCatalog
EFEB ScatterChart
EFF0 CustomActivity
EFF1 ServiceActivity
EFF4 AccountActivity
EFF7 CustomEntity
EFFC DocumentManagement
EFFE CRMReport
F000 KnowledgeArticle
F003 Relationship
F00E HomeVerify
F012 ZipFolder
F01B SurveyQuestions
F029 TextDocument
F02B TextDocumentShared
F02C PageCheckedOut
F02D PageShared
F038 SaveAndClose
F03A Script
F03F Archive
F04F OneNoteDocType
F055 MessageFriendRequest
F056 ActivityFeed
F057 Compare
F059 EventDate
F05B EditEvent
F05F Opportunities
F067 Quotes
F069 ArrowUpRight
F06B CaretRight
F071 SetAction
F08B ChatBot
F08D CaretSolidLeft
F08E CaretSolidDown
F08F CaretSolidRight
F090 CaretSolidUp
F091 PowerAppsLogo
F092 PowerApps2Logo
F09A SearchIssue
F09B SearchIssueMirrored
F09C FabricAssetLibrary
F09D FabricDataConnectionLibrary
F09E FabricDocLibrary
F09F FabricFormLibrary
F0A0 FabricFormLibraryMirrored
F0A1 FabricReportLibrary
F0A2 FabricReportLibraryMirrored
F0A3 FabricPublicFolder
F0A4 FabricFolderSearch
F0A5 FabricMovetoFolder
F0A6 FabricUnsyncFolder
F0A7 FabricSyncFolder
F0A8 FabricOpenFolderHorizontal
F0A9 FabricFolder
F0AA FabricFolderFill
F0AB FabricNewFolder
F0AC FabricPictureLibrary
F0B1 PhotoVideoMedia
F0C8 AddFavorite
F0C9 AddFavoriteFill
F0CF BufferTimeBefore
F0D0 BufferTimeAfter
F0D1 BufferTimeBoth
F0D4 PublishContent
F0E3 ClipboardList
F0E4 ClipboardListMirrored
F0F2 CannedChat
F0FB DefenderBadge12
F0FC SkypeForBusinessLogo
F100 TabCenter
F104 PageCheckedin
F106 PageList
F112 ReadOutLoud
F11E ScreenPreviewOn
F121 CaretBottomLeftSolid8
F122 CaretBottomRightSolid8
F12B FolderHorizontal
F130 MicrosoftStaffhubLogo
F133 GiftboxOpen
F136 StatusCircleOuter
F137 StatusCircleInner
F138 StatusCircleRing
F139 StatusTriangleOuter
F13A StatusTriangleInner
F13B StatusTriangleExclamation
F13C StatusCircleExclamation
F13D StatusCircleErrorX
F13E StatusCircleCheckmark
F13F StatusCircleInfo
F140 StatusCircleBlock
F141 StatusCircleBlock2
F142 StatusCircleQuestionMark
F143 StatusCircleSync
F156 DialShape1
F158 DialShape3
F160 Toll
F164 ExploreContentSingle
F165 CollapseContent
F166 CollapseContentSingle
F167 InfoSolid
F168 GroupList
F16A ProgressRingDots
F16E CheckboxIndeterminateCombo
F172 CaloriesAdd
F173 BranchFork
F17A MuteChat
F17B AddHome
F17C AddWork
F182 ScreenTime
F18A MobileReport
F18C ScaleVolume
F18F HardDriveGroup
F19A FastMode
F19B Ribbon2
F19E ToggleLeft
F19F ToggleRight
F1A2 FullView
F1A3 FocusView
F1A5 CircleShape
F1A6 SquareShape
F1A7 TriangleShape
F1A8 DropShape
F1A9 RectangleShape
F1AA CubeShape
F1AE Trophy2
F1B6 BucketColor
F1B7 BucketColorFill
F1C2 Taskboard
F1D3 SingleColumn
F1D4 DoubleColumn
F1D5 TripleColumn
F1D6 ColumnLeftTwoThirds
F1D7 ColumnRightTwoThirds
F1DB PinSolid
F1DE AnalyticsLogo
F1DF AnalyticsQuery
F1E0 NewAnalyticsQuery
F1E1 AnalyticsReport
F1E3 WordLogo
F1E5 ExcelLogo
F1E6 StackedBarChartFullSettings
F1E7 OneNoteLogo
F1E9 OutlookLogo
F1EA CompactViewList
F1EB PowerPointLogo
F1EC ColumnList
F1ED PublisherLogo
F1EE CompactColumnList
F1EF ScheduleEventAction
F1F3 FlameSolid
F1FB LocalAdmin
F1FD PowerShell
F1FE ServerProcesses
F1FF RegistryEditor
F201 Server
F203 SaveAll
F207 CostControl
F208 CostContralLedgerAdmin
F20A LinkedInLogo
F218 Decimals
F21A FilterAscending
F21B FilterDescending
F221 SidePanelMirrored
F22A ProtectRestrict
F22B Blog
F22C IOT
F22E UnknownMirrored
F230 PublicContactCardMirrored
F232 GridViewSmall
F233 GridViewMedium
F234 GridViewLarge
F23B Title
F23C TitleMirrored
F241 Step
F242 StepInsert
F243 StepShared
F244 StepSharedAdd
F245 StepSharedInsert
F246 ViewDashboard
F247 ViewList
F248 ViewListGroup
F249 ViewListTree
F24A TriggerAuto
F24B TriggerUser
F24C PivotChart
F24D StackedBarChart
F24E StackedLineChart
F24F BuildQueue
F250 BuildQueueNew
F25C UserFollowed
F25F ContactLink
F264 LeftKey
F265 RightKey
F268 Clicked
F269 TurnUserLeft
F26F Stack
F272 Bullseye
F273 VennDiagram
F274 FiveTileGrid
F277 FocalPoint
F278 Insert
F279 RingerRemove
F27A TeamsLogoInverse
F27B TeamsLogo
F27D SkypeForBusinessLogoFill
F27E SharepointLogo
F280 DelveLogo
F281 DelveLogoFill
F282 OfficeVideoLogo
F283 OfficeVideoLogoFill
F284 ExchangeLogo
F286 Signin
F28B DocumentApproval
F28C CloneToDesktop
F28D InstallToDrive
F28E Blur
F28F Build
F290 ProcessMetaTask
F291 BranchFork2
F292 BranchLocked
F293 BranchCommit
F294 BranchCompare
F295 BranchMerge
F296 BranchPullRequest
F297 BranchSearch
F298 BranchShelveset
F299 RawSource
F29A MergeDuplicate
F29B RowsGroup
F29C RowsChild
F29D Deploy
F29E Redeploy
F29F ServerEnviroment
F2A0 VisioDiagram
F2A1 HighlightMappedShapes
F2A2 TextCallout
F2A4 IconSetsFlag
F2A7 VisioLogo
F2A9 VisioDocument
F2AA TimelineProgress
F2AB TimelineDelivery
F2AC Backlog
F2AD TeamFavorite
F2AE TaskGroup
F2AF TaskGroupMirrored
F2B0 ScopeTemplate
F2B1 AssessmentGroupTemplate
F2B2 NewTeamProject
F2B3 CommentAdd
F2B4 CommentNext
F2B5 CommentPrevious
F2B6 ShopServer
F2B7 LocaleLanguage
F2B8 QueryList
F2B9 UserSync
F2BA UserPause
F2BB StreamingOff
F2BC MoreVertical
F2BD ArrowTallUpLeft
F2BE ArrowTallUpRight
F2BF ArrowTallDownLeft
F2C0 ArrowTallDownRight
F2C1 FieldEmpty
F2C2 FieldFilled
F2C3 FieldChanged
F2C4 FieldNotChanged
F2C5 RingerOff
F2C6 PlayResume
F2C7 BulletedList2
F2C8 BulletedList2Mirrored
F2C9 ImageCrosshair
F2CA GitGraph
F2CB Repo
F2CC RepoSolid
F2CD FolderQuery
F2CE FolderList
F2CF FolderListMirrored
F2D0 LocationOutline
F2D1 POISolid
F2D2 CalculatorNotEqualTo
F2D3 BoxSubtractSolid
F2D4 BoxAdditionSolid
F2D5 BoxMultiplySolid
F2D6 BoxPlaySolid
F2D7 BoxCheckmarkSolid
F2D8 CirclePauseSolid
F2D9 CirclePause
F2DA MSNVideosSolid
F2DB CircleStopSolid
F2DC CircleStop
F2DD NavigateBack
F2DE NavigateBackMirrored
F2DF NavigateForward
F2E0 NavigateForwardMirrored
F2E1 UnknownSolid
F2E2 UnknownMirroredSolid
F2E3 CircleAddition
F2E4 CircleAdditionSolid
F2E5 FilePDB
F2E6 FileTemplate
F2E7 FileSQL
F2E8 FileJAVA
F2E9 FileASPX
F2EA FileCSS
F2EB FileSass
F2EC FileLess
F2ED FileHTML
F2EE JavaScriptLanguage
F2EF CSharpLanguage
F2F0 CSharp
F2F1 VisualBasicLanguage
F2F2 VB
F2F3 CPlusPlusLanguage
F2F4 CPlusPlus
F2F5 FSharpLanguage
F2F6 FSharp
F2F7 TypeScriptLanguage
F2F8 PythonLanguage
F2F9 PY
F2FA CoffeeScript
F2FB MarkDownLanguage
F2FE FullWidth
F2FF FullWidthEdit
F300 Plug
F301 PlugSolid
F302 PlugConnected
F303 PlugDisconnected
F304 UnlockSolid
F305 Variable
F306 Parameter
F307 CommentUrgent
F308 Storyboard
F309 DiffInline
F30A DiffSideBySide
F30B ImageDiff
F30C ImagePixel
F30D FileBug
F30E FileCode
F30F FileComment
F310 BusinessHoursSign
F311 FileImage
F312 FileSymlink
F313 AutoFillTemplate
F314 WorkItem
F315 WorkItemBug
F316 LogRemove
F317 ColumnOptions
F318 Packages
F319 BuildIssue
F31A AssessmentGroup
F31B VariableGroup
F31C FullHistory
F31F Wheelchair
F320 Diploma
F321 SingleColumnEdit
F322 DoubleColumnEdit
F323 TripleColumnEdit
F324 ColumnLeftTwoThirdsEdit
F325 ColumnRightTwoThirdsEdit
F329 StreamLogo
F32A PassiveAuthentication
F331 AlertSolid
F332 MegaphoneSolid
F333 TaskSolid
F334 ConfigurationSolid
F335 BugSolid
F336 CrownSolid
F337 Trophy2Solid
F338 QuickNoteSolid
F339 ConstructionConeSolid
F33A PageListSolid
F33B PageListMirroredSolid
F33C StarburstSolid
F33D ReadingModeSolid
F33E SadSolid
F33F HealthSolid
F340 ShieldSolid
F341 GiftBoxSolid
F342 ShoppingCartSolid
F343 MailSolid
F344 ChatSolid
F345 RibbonSolid
F346 FinancialSolid
F347 FinancialMirroredSolid
F348 HeadsetSolid
F349 PermissionsSolid
F34A ParkingSolid
F34B ParkingMirroredSolid
F34C DiamondSolid
F34D AsteriskSolid
F34E OfflineStorageSolid
F34F BankSolid
F350 DecisionSolid
F351 Parachute
F352 ParachuteSolid
F353 FiltersSolid
F354 ColorSolid
F355 ReviewSolid
F356 ReviewRequestSolid
F357 ReviewRequestMirroredSolid
F358 ReviewResponseSolid
F359 FeedbackRequestSolid
F35A FeedbackRequestMirroredSolid
F35B FeedbackResponseSolid
F35C WorkItemBar
F35D WorkItemBarSolid
F35E Separator
F35F NavigateExternalInline
F360 PlanView
F361 TimelineMatrixView
F362 EngineeringGroup
F363 ProjectCollection
F364 CaretBottomRightCenter8
F365 CaretBottomLeftCenter8
F366 CaretTopRightCenter8
F367 CaretTopLeftCenter8
F368 DonutChart
F369 ChevronUnfold10
F36A ChevronFold10
F36B DoubleChevronDown8
F36C DoubleChevronUp8
F36D DoubleChevronLeft8
F36E DoubleChevronRight8
F36F ChevronDownEnd6
F370 ChevronUpEnd6
F371 ChevronLeftEnd6
F372 ChevronRightEnd6
F37C ContextMenu
F37F AzureAPIManagement
F380 AzureServiceEndpoint
F381 VSTSLogo
F382 VSTSAltLogo1
F383 VSTSAltLogo2
F387 FileTypeSolution
F38F DateTime12
F390 WordLogoInverse16
F391 WordLogo16
F393 PowerPointLogoInverse16
F394 PowerPointLogo16
F395 Debug
F396 ExcelLogoInverse16
F397 ExcelLogo16
F398 DebugAll
F399 OneNoteLogoInverse16
F39A OneNoteLogo16
F39C OutlookLogoInverse16
F39D OutlookLogo16
F39F PublisherLogoInverse16
F3A0 PublisherLogo16
F3A2 VisioLogoInverse16
F3A3 VisioLogo16
F3A5 TestBeaker
F3A6 TestBeakerSolid
F3A7 TestExploreSolid
F3A8 TestAutoSolid
F3A9 TestUserSolid
F3AA TestImpactSolid
F3AB TestPlan
F3AC TestStep
F3AD TestParameter
F3AE TestSuite
F3AF TestCase
F3B0 Sprint
F3B1 SignOut
F3B2 TriggerApproval
F3B3 Rocket
F3B4 AzureKeyVault
F3BA Onboarding
F3BC Transition
F3BF LikeSolid
F3C0 DislikeSolid
F3C8 D365CustomerInsights
F3C9 EditCreate
F3E0 UpKey
F3E1 DownKey
F3E4 PlayReverseResume
F3E5 PlayReverse
F3F1 SearchData
F3F9 UnSetColor
F3FA AutoDeploySettings
F400 ContactLock
F403 HideVisualFilter
F405 DeclineCall
F407 RectangularClipping
F40A TeamsLogo16
F40D Spacer
F40E SkypeLogo16
F40F SkypeForBusinessLogo16
F410 SkypeForBusinessLogoFill16
F412 FilterSolid
F415 MailUndelivered
F416 MailTentative
F417 MailTentativeMirrored
F418 MailReminder
F419 ReceiptUndelivered
F41A ReceiptTentative
F41B ReceiptTentativeMirrored
F41C Inbox
F41D IRMReply
F41E IRMReplyMirrored
F41F IRMForward
F420 IRMForwardMirrored
F421 VoicemailIRM
F422 EventAccepted
F423 EventTentative
F424 EventTentativeMirrored
F425 EventDeclined
F426 CustomerAssets
F427 IDBadge
F42B BackgroundColor
F433 OfficeFormsLogoInverse16
F434 OfficeFormsLogo
F436 OfficeFormsLogo16
F43A OfficeFormsLogoInverse24
F43B OfficeFormsLogo24
F43F PageLock
F440 NotExecuted
F441 NotImpactedSolid
F442 FieldReadOnly
F443 FieldRequired
F444 BacklogBoard
F445 ExternalBuild
F446 ExternalTFVC
F447 ExternalXAML
F448 IssueSolid
F449 DefectSolid
F44A LadybugSolid
F44C NugetLogo
F44D TFVCLogo
F478 ShopBrand
F47E ProjectLogo32
F480 ProjectLogo16
F481 SharedNotes
F482 SwayLogo32
F483 SwayLogoFill32
F484 SwayLogo16
F485 SwayLogoFill16
F486 ClassNotebookLogo32
F487 ClassNotebookLogoFill32
F488 ClassNotebookLogo16
F489 ClassNotebookLogoFill16
F48A ClassNotebookLogoInverse32
F48B ClassNotebookLogoInverse16
F48C StaffNotebookLogo32
F48D StaffNotebookLogoFill32
F48E StaffNotebookLogo16
F48F StaffNotebookLogoFill16
F490 StaffNotebookLogoInverted32
F491 StaffNotebookLogoInverted16
F492 KaizalaLogo
F493 TaskLogo
F494 ProtectionCenterLogo32
F496 GallatinLogo
F49A Globe2
F49B Guitar
F49C Breakfast
F49D Brunch
F49E BeerMug
F49F Vacation
F4A0 Teeth
F4A1 Taxi
F4A2 Chopsticks
F4A3 SyncOccurence
F4A4 UnsyncOccurence
F4A9 GIF
F4AE PrimaryCalendar
F4AF SearchCalendar
F4B0 VideoOff
F4B1 PowerAutomateLogo
F4B2 BusinessCenterLogo
F4B3 ToDoLogoBottom
F4B4 ToDoLogoTop
F4B5 EditSolid12
F4B6 EditSolidMirrored12
F4B7 UneditableSolid12
F4B8 UneditableSolidMirrored12
F4B9 UneditableMirrored
F4BA AdminALogo32
F4BB AdminALogoFill32
F4BC ToDoLogoInverse
F4BD Snooze
F4C6 CortanaLogoBeckonInner
F4C7 CortanaLogoBeckonOuter
F4C8 CortanaLogoReadyInner
F4C9 CortanaLogoReadyOuter
F4CB SSLCertificate
F4DE ShowVisualFilter
F4E0 WaffleOffice365
F4E1 AddConnection
F4E8 ImageSearch
F4E9 NewsSearch
F4EA VideoSearch
F4EB R
F4EC FontColorA
F4ED FontColorSwatch
F4EE LightWeight
F4EF NormalWeight
F4F0 SemiboldWeight
F4F1 GroupObject
F4F2 UngroupObject
F4F3 AlignHorizontalLeft
F4F4 AlignHorizontalCenter
F4F5 AlignHorizontalRight
F4F6 AlignVerticalTop
F4F7 AlignVerticalCenter
F4F8 AlignVerticalBottom
F4F9 HorizontalDistributeCenter
F4FA VerticalDistributeCenter
F4FB Ellipse
F4FC Line
F4FD Octagon
F4FE Hexagon
F4FF Pentagon
F500 RightTriangle
F501 HalfCircle
F502 QuarterCircle
F503 ThreeQuarterCircle
F504 6PointStar
F505 12PointStar
F506 ArrangeBringToFront
F507 ArrangeSendToBack
F508 ArrangeSendBackward
F509 ArrangeBringForward
F50A BorderDash
F50B BorderDot
F50C LineStyle
F50D LineThickness
F50E WindowEdit
F50F HintText
F510 MediaAdd
F511 AnchorLock
F512 AutoHeight
F513 ChartSeries
F514 ChartXAngle
F515 ChartYAngle
F516 Combobox
F517 LineSpacing
F518 Padding
F519 PaddingTop
F51A PaddingBottom
F51B PaddingLeft
F51C PaddingRight
F51D NavigationFlipper
F51E AlignJustify
F51F TextOverflow
F520 VisualsFolder
F521 VisualsStore
F522 PictureCenter
F523 PictureFill
F524 PicturePosition
F525 PictureStretch
F526 PictureTile
F527 Slider
F528 SliderHandleSize
F529 DefaultRatio
F52A NumberSequence
F52B GUID
F52C ReportAdd
F52D DashboardAdd
F52E MapPinSolid
F52F WebPublish
F530 PieSingleSolid
F531 BlockedSolid
F532 DrillDown
F533 DrillDownSolid
F534 DrillExpand
F535 DrillShow
F536 SpecialEvent
F53B OneDriveFolder16
F542 FunctionalManagerDashboard
F543 BIDashboard
F544 CodeEdit
F545 RenewalCurrent
F546 RenewalFuture
F547 SplitObject
F548 BulkUpload
F549 DownloadDocument
F54B GreetingCard
F54E Flower
F550 WaitlistConfirm
F551 WaitlistConfirmMirrored
F552 LaptopSecure
F553 DragObject
F554 EntryView
F555 EntryDecline
F556 ContactCardSettings
F557 ContactCardSettingsMirrored
F558 CalendarSettings
F559 CalendarSettingsMirrored
F55A HardDriveLock
F55B HardDriveUnlock
F55C AccountManagement
F568 DiagnosticDataViewerApp
F569 ReportWarning
F5B0 PlaySolid
F5B2 TransitionPop
F5B3 TransitionPush
F5B4 TransitionEffect
F5B5 LookupEntities
F5B6 ExploreData
F5B7 AddBookmark
F5B8 SearchBookmark
F5B9 DrillThrough
F5BA MasterDatabase
F5BB CertifiedDatabase
F5BC MaximumValue
F5BD MinimumValue
F5C9 CriticalErrorSolid
F5D0 VisualStudioForWindows
F5D5 PasteAsText
F5D6 PasteAsCode
F5D7 BrowserTab
F5D8 BrowserTabScreenshot
F5D9 DesktopScreenshot
F5DA FileYML
F5DC ClipboardSolid
F5E4 ChevronDownEnd
F5E5 FabricUserFolder
F5E6 FabricNetworkFolder
F5F0 BullseyeTarget
F5F1 AnalyticsView
F609 Video360Generic
F60B Untag
F621 RemoteApplication
F627 Leave
F62D Trending12
F62E Blocked12
F62F Warning12
F630 CheckedOutByOther12
F631 CheckedOutByYou12
F633 DiagnosticDataBar
F635 TimeEntryTemplate
F63C CircleShapeSolid
F63D SquareShapeSolid
F63E TriangleShapeSolid
F63F DropShapeSolid
F640 RectangleShapeSolid
F647 ContentSettings
F648 DefaultSettings
F649 ZoomToFit
F64A InsertColumnsLeft
F64B InsertColumnsRight
F64C InsertRowsAbove
F64D InsertRowsBelow
F64E DeleteColumns
F64F DeleteRows
F650 DeleteRowsMirrored
F651 DeleteTable
F652 AccountBrowser
F664 VersionControlPush
F666 StackedColumnChart2
F668 StackedBarChartFull
F66E TripleColumnWide
F66F QuadColumn
F671 SaveAndPublish
F673 WhiteBoardApp16
F674 WhiteBoardApp32
F675 CaseSetting
F676 PinnedSolid
F677 InsertSignatureLine
F678 ArrangeByFrom
F679 Phishing
F67A CreateMailRule
F691 Number
F699 PublishCourse
F69A DictionaryRemove
F69B UserRemove
F69C UserEvent
F69D Encryption
F6A6 LiveSite
F6AA PasswordField
F6AB OpenInNewTab
F6AC Hide3
F6AD VerifiedBrandSolid
F6AE MarkAsProtected
F6B1 AuthenticatorApp
F6B2 WebTemplate
F6B3 DefenderTVM
F6B9 MedalSolid
F6BB D365TalentLearn
F6BC D365TalentInsight
F6BD D365CoreHR
F6BF BacklogList
F6C0 ButtonControl
F6C1 BullseyeTargetDelete
F6D9 TableGroup
F6DB MountainClimbing
F6DF TagUnknown
F6E0 TagUnknownMirror
F6E1 TagUnknown12
F6E2 TagUnknown12Mirror
F6E3 Link12
F6E4 Presentation
F6E5 Presentation12
F6E6 Lock12
F6E9 BuildDefinition
F6EA ReleaseDefinition
F6EC SaveTemplate
F6ED UserGauge
F6EF CRMResourceOptimizationApp32
F6FA WebSearch
F70A BlockedSiteSolid12
F70E TagSolid
F70F OfficeChat
F710 OfficeChatSolid
F721 ReportAlert
F722 ReportAlertMirrored
F72C PeopleSettings
F72E MailSchedule
F730 PowerShell2
F731 DataAnalysis
F736 WarningSolid
F737 Blocked2Solid
F747 SkypeCircleArrow
F748 SkypeArrow
F751 SyncStatus
F752 SyncStatusSolid
F759 ProjectDocument
F75B ToDoLogoOutline
F762 VisioDiagramSync
F763 Event12
F764 EventDateMissed12
F767 UserOptional
F768 ResponsesMenu
F769 DoubleDownArrow
F76A DistributeDown
F76B BookmarkReport
F76C FilterSettings
F772 GripperDotsVertical
F774 MailAttached
F775 AddIn
F779 LinkedDatabase
F77A TableLink
F77D PromotedDatabase
F77E BarChartVerticalFilter
F77F BarChartVerticalFilterSolid
F781 MicOff2
F782 MicrosoftTranslatorLogo
F784 Whiteboard
F787 ShowTimeAs
F789 FileRequest
F78C AcceptMedium
F78F WorkItemAlert
F790 PowerBILogo16
F791 PowerBILogoBackplate16
F792 BulletedListText
F793 BulletedListBullet
F794 BulletedListTextMirrored
F795 BulletedListBulletMirrored
F796 NumberedListText
F797 NumberedListNumber
F798 NumberedListTextMirrored
F799 NumberedListNumberMirrored
F79A RemoveLinkChain
F79B RemoveLinkX
F79C FabricTextHighlight
F79D ClearFormattingA
F79E ClearFormattingEraser
F79F Photo2Fill
F7A0 IncreaseIndentText
F7A1 IncreaseIndentArrow
F7A2 DecreaseIndentText
F7A3 DecreaseIndentArrow
F7A4 IncreaseIndentTextMirrored
F7A5 IncreaseIndentArrowMirrored
F7A6 DecreaseIndentTextMirrored
F7A7 DecreaseIndentArrowMirrored
F7A8 CheckListText
F7A9 CheckListCheck
F7AA CheckListTextMirrored
F7AB CheckListCheckMirrored
F7AC NumberSymbol
F7BC Coupon
F7BD VerifiedBrand
F7BE ReleaseGate
F7BF ReleaseGateCheck
F7C0 ReleaseGateError
F7C1 M365InvoicingLogo
F7CA XPowerY
F7D5 RemoveFromShoppingList
F7D7 ShieldAlert
F7D9 StreamDiscover
F7DA FabricTextHighlightComposite
F7DB LearningTools
F7DD Dataflows
F7DE ShowGrid
F7DF DiagnosticDataBarTooltip
F7E0 SaveToMobile
F7E1 Orientation2
F7E2 ScreenCast
F7E3 GenericScanFilled
F7E4 SnapToGrid
F7E5 ContactList
F7E7 SyncOccurenceCancel
F7EA NewMail
F7EB EyeShadow
F7EC Task
F7FF FabricFolderConfirm
F803 InformationBarriers
F804 CommentActive
F806 ColumnVerticalSectionEdit
F807 WavingHand
F80A ShakeDevice
F80B SmartGlassRemote
F80C RSSFeed
F80D Rotate90Clockwise
F80E Rotate90CounterClockwise
F811 CampaignTemplate
F812 ChartTemplate
F813 PageListFilter
F814 SecondaryNav
F815 VirtualNetwork
F81E ColumnVerticalSection
F825 SkypeCircleSlash
F826 SkypeSlash
F828 CustomizeToolbar
F82A DuplicateRow
F82B RemoveFromTrash
F82C MailOptions
F82D Childof
F82E Footer
F82F Header
F830 BarChartVerticalFill
F831 StackedColumnChart2Fill
F833 D365BusinessCentral
F834 PlainText
F835 AccessibiltyChecker
F842 DatabaseSync
F845 ReservationOrders
F849 TabOneColumn
F84A TabTwoColumn
F84B TabThreeColumn
F84C BulletedTreeList
F852 MicrosoftTranslatorLogoGreen
F853 MicrosoftTranslatorLogoBlue
F854 InternalInvestigation
F859 ExpandAll
F85A CollapseAll
F85D AddReaction
F85E RevenueManagement
F862 ContactHeart
F866 VisuallyImpaired
F869 EventToDoLogo
F86D Variable2
F871 ModelingView
F873 DisconnectVirtualMachine
F875 ReportLock
F876 Uneditable2
F877 Uneditable2Mirrored
F87B Spelling
F89D BarChartVerticalEdit
F89F GlobalNavButtonActive
F8A0 PollResults
F8A1 Rerun
F8A2 QandA
F8A3 QandAMirror
F8A4 BookAnswers
F8B6 AlertSettings
F8BA SpeechOff
F8BB TrimStart
F8BC TrimEnd
F8F5 TableComputed
F8FB UniteShape
F8FC SubtractShape
F8FD IntersectShape
